OG_name	AT_prot	HV_OrthoMCL	TA_OrthoMCL	
OG1.0_1000	1	31	28	
OG1.0_1001	1	12	24	
OG1.0_1002	1	12	9	
OG1.0_1003	1	14	6	
OG1.0_1004	0	12	7	
OG1.0_1005	1	9	9	
OG1.0_1006	1	9	8	
OG1.0_1007	3	5	9	
OG1.0_1008	0	13	4	
OG1.0_1009	3	5	8	
OG1.0_1010	3	12	1	
OG1.0_1011	1	5	9	
OG1.0_1012	0	11	4	
OG1.0_1013	1	5	8	
OG1.0_1014	0	9	4	
OG1.0_1015	1	5	7	
OG1.0_1016	1	5	7	
OG1.0_1017	3	3	6	
OG1.0_1018	0	12	0	
OG1.0_1019	1	6	5	
OG1.0_1020	1	2	9	
OG1.0_1021	3	1	7	
OG1.0_1022	3	5	3	
OG1.0_1023	1	5	5	
OG1.0_1024	1	4	6	
OG1.0_1025	1	6	4	
OG1.0_1026	1	5	5	
OG1.0_1027	1	6	4	
OG1.0_1028	1	6	4	
OG1.0_1029	1	4	6	
OG1.0_1030	1	6	4	
OG1.0_1031	0	11	0	
OG1.0_1032	0	0	11	
OG1.0_1033	0	8	2	
OG1.0_1034	0	0	10	
OG1.0_1035	3	3	3	
OG1.0_1036	1	5	3	
OG1.0_1037	1	5	3	
OG1.0_1038	0	5	4	
OG1.0_1039	1	5	3	
OG1.0_1040	0	6	3	
OG1.0_1041	0	9	0	
OG1.0_1042	1	5	3	
OG1.0_1043	0	0	9	
OG1.0_1044	3	2	3	
OG1.0_1045	2	4	2	
OG1.0_1046	1	4	3	
OG1.0_1047	1	4	3	
OG1.0_1048	0	5	3	
OG1.0_1049	1	4	3	
OG1.0_1050	1	4	3	
OG1.0_1051	1	3	4	
OG1.0_1052	1	4	3	
OG1.0_1053	1	3	4	
OG1.0_1054	1	1	6	
OG1.0_1055	2	4	1	
OG1.0_1056	2	3	2	
OG1.0_1057	2	2	3	
OG1.0_1058	2	2	3	
OG1.0_1059	0	4	3	
OG1.0_1060	1	3	3	
OG1.0_1061	1	3	3	
OG1.0_1062	1	4	2	
OG1.0_1063	1	5	1	
OG1.0_1064	1	3	3	
OG1.0_1065	1	4	2	
OG1.0_1066	0	0	7	
OG1.0_1067	1	1	5	
OG1.0_1068	2	1	4	
OG1.0_1069	1	2	4	
OG1.0_1070	2	1	3	
OG1.0_1071	6	0	0	
OG1.0_1072	2	0	4	
OG1.0_1073	0	3	3	
OG1.0_1074	0	2	4	
OG1.0_1075	1	2	3	
OG1.0_1076	0	3	3	
