# BEAST v1.8.2, r6687
# Generated Sat Apr 30 11:36:40 CDT 2022 [seed=1651336600336]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	clock.rate	treeLikelihood	coalescent
0	-3537.0405354090117	4.306649641706713	-3541.3471850507185	0.2894138144233976	0.4	1.0	-3541.3471850507185	3.390358909832558
1000	-2083.0511733577905	-0.6180207395721449	-2082.433152618218	0.7560675971373184	0.6006806210005362	1.0	-2082.433152618218	-1.1277126379135158
2000	-2081.5812923967114	2.40149499546024	-2083.9827873921718	0.7140003282877355	0.3014169246451743	1.0	-2083.9827873921718	1.202234154528506
3000	-2081.1392192939393	2.6322529961707515	-2083.77147229011	0.5900565439920875	0.3629941312416687	1.0	-2083.77147229011	1.6188843839444482
4000	-2080.7526854317007	2.6742253396301257	-2083.4269107713308	0.7129064345265529	0.2678923107541563	1.0	-2083.4269107713308	1.3570551348611353
5000	-2082.71787076914	0.888406535982767	-2083.6062773051226	0.569401046592463	0.4995381243212415	1.0	-2083.6062773051226	0.19433517714408644
6000	-2076.377541182781	1.5595437739175144	-2077.9370849566985	0.6664442774164766	0.29310519122771284	1.0	-2077.9370849566985	0.332320053951239
7000	-2078.785669985184	1.627960817245829	-2080.41363080243	0.6810853990177558	0.24229950361152391	1.0	-2080.41363080243	0.21038011743167528
8000	-2077.4418805207015	1.874896558881475	-2079.316777079583	0.7248097788444074	0.29989553508880606	1.0	-2079.316777079583	0.6705754775434942
9000	-2079.833808078284	1.3045458433325683	-2081.1383539216167	0.6828419857723617	0.2681745577238381	1.0	-2081.1383539216167	-0.011571332374714194
10000	-2078.3340244510327	1.9609343696361803	-2080.294958820669	0.6570622283583785	0.4147027707146447	1.0	-2080.294958820669	1.0807411391347097
11000	-2079.107416358143	2.752414269046591	-2081.8598306271897	0.712528836271898	0.2884540788259573	1.0	-2081.8598306271897	1.5091948911629818
12000	-2083.5104888304018	-0.9323494725100416	-2082.578139357892	0.70810574485712	0.7206307756458306	1.0	-2082.578139357892	-1.2599778457279214
13000	-2082.717691078869	0.9875066542314083	-2083.7051977331002	0.6315345938850352	0.42687836570525284	1.0	-2083.7051977331002	0.13625049006506518
14000	-2082.6655684270454	1.0758763776514844	-2083.741444804697	0.7517531003181877	0.3770772538610615	1.0	-2083.741444804697	0.10057118252800101
15000	-2085.507680275934	1.8937641028591052	-2087.4014443787933	0.7377374230054268	0.3745245309383011	1.0	-2087.4014443787933	0.9116661278620369
16000	-2083.3483349530393	0.9835964723406341	-2084.33193142538	0.7847072920349094	0.2192316274144529	1.0	-2084.33193142538	-0.5340299763259393
17000	-2083.631327289074	1.0507282498554495	-2084.6820555389295	0.6411198196361204	0.46521839485692473	1.0	-2084.6820555389295	0.2854799325609242
18000	-2082.1137999840107	1.5088712435806377	-2083.622671227591	0.6704041274658196	0.3435955813304646	1.0	-2083.622671227591	0.44058129470293306
19000	-2082.283033317852	1.1998604466080895	-2083.48289376446	0.7463469747717968	0.4030027834856735	1.0	-2083.48289376446	0.291048636461124
20000	-2077.5135642893665	1.9526491555689849	-2079.4662134449354	0.6561335209619392	0.31565620015988277	1.0	-2079.4662134449354	0.7995475237226437
21000	-2083.601262462888	-1.0684754310205644	-2082.5327870318674	0.7592619565418356	0.7008676304089281	1.0	-2082.5327870318674	-1.4239116704578372
22000	-2077.1516818749915	1.8575035200037413	-2079.0091853949953	0.605875150469976	0.38904478998899583	1.0	-2079.0091853949953	0.9134427193716793
23000	-2079.7237685426485	2.5840183686952547	-2082.3077869113436	0.7441011440731835	0.32991414950262715	1.0	-2082.3077869113436	1.475095557305634
24000	-2086.7332455876626	-0.18657527784479644	-2086.5466703098177	0.6388971495052165	0.5716160265255534	1.0	-2086.5466703098177	-0.7458630731559628
25000	-2079.4141948720026	1.2628740258330398	-2080.6770688978354	0.67341193392197	0.4017463554384395	1.0	-2080.6770688978354	0.35093967971222906
26000	-2084.6524572250773	-0.17973984089413486	-2084.4727173841834	0.6821135463579853	0.5677131222089706	1.0	-2084.4727173841834	-0.745878895277687
27000	-2081.7970245973424	2.180774433777414	-2083.97779903112	0.6709687247762016	0.4142479683847069	1.0	-2083.97779903112	1.2994839067681532
28000	-2081.615412787917	2.9421645610656633	-2084.5575773489827	0.6585145638685076	0.30584082512070193	1.0	-2084.5575773489827	1.7574740693515845
29000	-2078.4367607030276	1.3225721455657176	-2079.759332848593	0.6834882125151468	0.45936686548900196	1.0	-2079.759332848593	0.5446660286148537
30000	-2077.3834211589415	1.7994868635827388	-2079.1829080225243	0.7632155266133064	0.3805307571906759	1.0	-2079.1829080225243	0.8332985922509243
31000	-2080.5697758013002	-0.4166054658549197	-2080.1531703354453	0.7108632033671272	0.6795572553064415	1.0	-2080.1531703354453	-0.8029192538589796
32000	-2077.6997800739373	1.715797735703607	-2079.415577809641	0.6991026420531186	0.24777078985742534	1.0	-2079.415577809641	0.3205465410725852
33000	-2078.5842890364606	1.5384810272805254	-2080.122770063741	0.6080853099577845	0.3844712177894787	1.0	-2080.122770063741	0.5825946782380048
34000	-2075.640559245788	1.8983292488113284	-2077.5388884945996	0.7151097315318452	0.35724598886016035	1.0	-2077.5388884945996	0.8689985587529316
35000	-2079.4563965854927	0.5685536158637706	-2080.0249502013567	0.6454714411761421	0.576563605894137	1.0	-2080.0249502013567	0.017884001630712798
36000	-2077.037544257067	1.6302191092269451	-2078.667763366294	0.690063264643026	0.37814482374709385	1.0	-2078.667763366294	0.6577410840942914
37000	-2075.700414065266	2.2877072183129514	-2077.988121283579	0.6643085332089741	0.24045105800351863	1.0	-2077.988121283579	0.8624685071426166
38000	-2080.1138546096745	0.8528634532794777	-2080.966718062954	0.7006046570715276	0.4025592340315942	1.0	-2080.966718062954	-0.057049574375904966
39000	-2076.93720065282	1.0485325372490297	-2077.9857331900694	0.7067211100313205	0.4673355647785109	1.0	-2077.9857331900694	0.2878248120289465
40000	-2084.5164443646177	1.904649936977446	-2086.421094301595	0.5618480399787583	0.3547110112950007	1.0	-2086.421094301595	0.8681980632597653
41000	-2085.4609022663626	-0.834798730065017	-2084.6261035362977	0.764904049201402	0.68518023186876	1.0	-2084.6261035362977	-1.21287209317571
42000	-2076.633664918643	1.9493514547666224	-2078.5830163734095	0.6961902338750169	0.43467023094170204	1.0	-2078.5830163734095	1.116183829588607
43000	-2078.2272759230623	2.6546268884291204	-2080.8819028114913	0.6373695161982629	0.2978696826092059	1.0	-2080.8819028114913	1.4435276936254187
