# BEAST v1.8.2, r6687
# Generated Sat Apr 30 12:13:15 CDT 2022 [seed=1651338794855]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	clock.rate	treeLikelihood	coalescent
0	-5219.5041319151715	-16.995248286501727	-5202.5088836286695	5.689252547203914	1.4	1.0	-5202.5088836286695	-16.658776049880515
1000	-3219.1541829160774	-19.758835130004208	-3199.395347786073	2.8168242538982247	3.090440769939926	1.0	-3199.395347786073	-18.630521405273736
2000	-3217.4852541808095	-23.50757615669645	-3193.977678024113	7.862193231564666	3.492463440882589	1.0	-3193.977678024113	-22.25696881249558
3000	-3217.51879581898	-23.337879252604044	-3194.180916566376	3.9582641235531404	5.468304297297563	1.0	-3194.180916566376	-21.638910684724287
4000	-3217.4767862378494	-20.501343220368145	-3196.975443017481	4.106867511435088	2.5789759573836504	1.0	-3196.975443017481	-19.553950815969294
5000	-3219.449138828457	-20.528396728850467	-3198.9207420996063	3.5119053259034665	2.146073080394234	1.0	-3198.9207420996063	-19.764757030984033
6000	-3216.4413091987703	-20.71353853774706	-3195.7277706610234	3.4026647636855842	2.5997653956984172	1.0	-3195.7277706610234	-19.7581173292145
7000	-3214.8731716389816	-20.57095511454582	-3194.3022165244356	3.3094597155142074	2.746227897099696	1.0	-3194.3022165244356	-19.560726818254903
8000	-3214.8564354903256	-21.457232003528695	-3193.399203486797	4.010421676646775	3.480637054957509	1.0	-3193.399203486797	-20.210016664726673
9000	-3213.0132450594256	-20.93279122299591	-3192.0804538364296	3.1413982883429052	3.1794906503725793	1.0	-3192.0804538364296	-19.776070211871676
10000	-3218.5303171573237	-21.111946764565875	-3197.418370392758	4.0309441298090025	1.7448872481226712	1.0	-3197.418370392758	-20.555256825255423
11000	-3213.7599667587506	-20.859110438835234	-3192.9008563199154	3.1886329800447424	3.398208494973366	1.0	-3192.9008563199154	-19.635862059323813
12000	-3220.4591017391485	-25.282090327388538	-3195.17701141176	9.803923999389523	2.7882041031657145	1.0	-3195.17701141176	-24.256692629434625
